frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"11763","0.002585000","192.168.81.139","192.168.81.2","53181","53","279","0x0000860f","0","0","post.3e4621ca576f9b738e6b1897079f26fa7b391a9298da12c6baf7fbbdc.e85993c905c38a42514d05953e3388e14be3242aa41d5be48d6245ab.9cb3a308c1ff22e8c577bd286289fd455a6c7a25625a3dfed043e46a.41e6a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11764","0.260337000","192.168.81.2","192.168.81.139","53","53181","295","0x0000860f","1","0","post.3e4621ca576f9b738e6b1897079f26fa7b391a9298da12c6baf7fbbdc.e85993c905c38a42514d05953e3388e14be3242aa41d5be48d6245ab.9cb3a308c1ff22e8c577bd286289fd455a6c7a25625a3dfed043e46a.41e6a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11765","0.002579000","192.168.81.139","192.168.81.2","60613","53","279","0x0000362f","0","0","post.38b7143d6bce598aa346abc840a26bfb2a28bdfc874af5ee1acbd82ae.93dc0b043d2b254a033617c3d5de7b3727fb3d39a6e66e411c272c1d.a609a46d962f62eabdce3e8090b43eaaf85324b76f1ee8e22f128afe.41f6a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11766","0.227498000","192.168.81.2","192.168.81.139","53","60613","295","0x0000362f","1","0","post.38b7143d6bce598aa346abc840a26bfb2a28bdfc874af5ee1acbd82ae.93dc0b043d2b254a033617c3d5de7b3727fb3d39a6e66e411c272c1d.a609a46d962f62eabdce3e8090b43eaaf85324b76f1ee8e22f128afe.41f6a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11767","0.002141000","192.168.81.139","192.168.81.2","60318","53","279","0x0000270c","0","0","post.30a94ebbc48ddcd3700ae27cc176e7a00c906631cb308de3471e50f44.fc731737a3ae1b80419f2b95385de317ab47512747e13f4e03247d38.e32bb1366c0dbb85576e9839f6f6457f58fa7bbf2b6ff255625c258a.4206a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11768","0.430219000","192.168.81.2","192.168.81.139","53","60318","295","0x0000270c","1","0","post.30a94ebbc48ddcd3700ae27cc176e7a00c906631cb308de3471e50f44.fc731737a3ae1b80419f2b95385de317ab47512747e13f4e03247d38.e32bb1366c0dbb85576e9839f6f6457f58fa7bbf2b6ff255625c258a.4206a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11769","0.001907000","192.168.81.139","192.168.81.2","50336","53","279","0x0000e03e","0","0","post.30961c5cad9c29e33be1753e2e1c2d035907d0b5f9c44db1443f95d7a.2ce8c70ac40703832280978bc11bf50bf67534a46081337317ef733c.a5049bd6dbfdc6518314af99a7d8c5065cc37817a4058674d71aa0a7.4216a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11770","1.023593000","192.168.81.139","192.168.81.2","50336","53","279","0x0000e03e","0","0","post.30961c5cad9c29e33be1753e2e1c2d035907d0b5f9c44db1443f95d7a.2ce8c70ac40703832280978bc11bf50bf67534a46081337317ef733c.a5049bd6dbfdc6518314af99a7d8c5065cc37817a4058674d71aa0a7.4216a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11771","0.032126000","192.168.81.2","192.168.81.139","53","50336","295","0x0000e03e","1","0","post.30961c5cad9c29e33be1753e2e1c2d035907d0b5f9c44db1443f95d7a.2ce8c70ac40703832280978bc11bf50bf67534a46081337317ef733c.a5049bd6dbfdc6518314af99a7d8c5065cc37817a4058674d71aa0a7.4216a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11772","0.002432000","192.168.81.139","192.168.81.2","60698","53","279","0x0000b963","0","0","post.31a57c6ec7abbb80a03f499b832c92a878a78e03faa86e911b9f177ff.7e4bcbd76d51cc46fdf13def1366bd7e3f1ce42faa92e2c430ae0d91.74663ad262cb8a8544ab5c2b04138d80498eef5d252dfd5d2edefca8.4226a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11773","0.223229000","192.168.81.2","192.168.81.139","53","50336","295","0x0000e03e","1","0","post.30961c5cad9c29e33be1753e2e1c2d035907d0b5f9c44db1443f95d7a.2ce8c70ac40703832280978bc11bf50bf67534a46081337317ef733c.a5049bd6dbfdc6518314af99a7d8c5065cc37817a4058674d71aa0a7.4216a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11774","0.018862000","192.168.81.2","192.168.81.139","53","60698","295","0x0000b963","1","0","post.31a57c6ec7abbb80a03f499b832c92a878a78e03faa86e911b9f177ff.7e4bcbd76d51cc46fdf13def1366bd7e3f1ce42faa92e2c430ae0d91.74663ad262cb8a8544ab5c2b04138d80498eef5d252dfd5d2edefca8.4226a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11775","0.002713000","192.168.81.139","192.168.81.2","60480","53","279","0x000064c9","0","0","post.32806803b923ea669ddd223bdc9fa7c8f346147f103d4757a4805ad7b.4bf7bcc0d9794d7ed114a27dc611a3feba719a97b90b0dad0907d139.ab22157e2f1248c9ee8297093e968b2a3d22bdfa3ea9cc927032695c.4236a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
"11776","0.230980000","192.168.81.2","192.168.81.139","53","60480","295","0x000064c9","1","0","post.32806803b923ea669ddd223bdc9fa7c8f346147f103d4757a4805ad7b.4bf7bcc0d9794d7ed114a27dc611a3feba719a97b90b0dad0907d139.ab22157e2f1248c9ee8297093e968b2a3d22bdfa3ea9cc927032695c.4236a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"11777","0.003032000","192.168.81.139","192.168.81.2","59104","53","279","0x0000a114","0","0","post.34a456f09872a9b78d7f25e73f09a8237916653bbc4b1d0bc23a461d2.1426a27c1341ffa217acd885898c67b02738296684000f971c92a5bd.8c5eb485908b3b67c318a29b2271312cf7472a830a96e2983ec62e69.4246a243ad2.2bb0a7b2.ns1.ssltestdomain.xyz","1",,,,
