frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"96","0.302892000","192.168.183.2","192.168.183.133","53","54466","370","0x0000ecf7","1","0","api.296d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"sU119aAum9/PEdSoqz8WnxMCjcmFLwDhTb8JMzSOZMHQNI5W8LEixVySgXgVoy2t1A2lHc9kNJcQw9/W8eJV38N+Y56SsXomGXFAjlZWMyScwGFKgk5r3XNcD1CJT+nzMhoZdjRCl4kT3o7Nhl8NOhctaou95q+VZTCvXtHdI/LDP/8UtIMKtFUNNHVEMLhXLzlVHWvAENsBnpZnjK9wUNJuApGB29VmqbhRksLEbARCWeL3yC3OCfqyypB4","252","0"
"97","0.001023000","192.168.183.133","192.168.183.2","59485","53","105","0x00007c50","0","0","api.2a6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"98","0.056973000","192.168.183.2","192.168.183.133","53","59485","370","0x00007c50","1","0","api.2a6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"aWUKmfLPlIILC92A4A8RRrmVCVLx3SzOT+oGaFpCGQrCWK4+ugoc8MH9qQg5vXFpMg0RMaKKNVcdHQqolJvFCufcLYutyd6VXXrZBCx0NqT/XI84zC4SBZZp8I8aoDcJBsv65TidYUyH/ckUdxHR0yct1Kjd8UAQEsudmBaUf3UhGOtOGqigcBA2oh4sG3LrU1K64RFs3Wm0YlFMLLrKpr0qy7H2EPiemHGqQnGHtgCdbfRixPPCtYB0TF24","252","0"
"99","0.000903000","192.168.183.133","192.168.183.2","62565","53","105","0x0000a0b2","0","0","api.2b6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"100","0.051943000","192.168.183.2","192.168.183.133","53","62565","370","0x0000a0b2","1","0","api.2b6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"X5QgM63iGIHsWuuIAdidSmzxEC0nR3383UiXdOCQNN3vI7jxFgDw63w2J+c1fB4+79MDojvRqB+ktMwp+F4VakZjmh7uMfsZl3ur1Go95NkSsoWNsij50q4odWWH4oXEHnLa/xoAPblvuYE1XSVPo3cZxS2fanUYHef5ebO28fZKWKJZfHxQtMWKSdaDvW9A9Mv2or744ip2dgEd45kAxgeD+kxH4AiPTGS7hhWUc9TP6fYfB9wpCicwgo81","252","0"
"101","0.000972000","192.168.183.133","192.168.183.2","49987","53","105","0x00005769","0","0","api.2c6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"102","0.150320000","192.168.183.2","192.168.183.133","53","49987","370","0x00005769","1","0","api.2c6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"MPbfoagraiIlIDojSHq1Cqtj3v01i+0HH35EUWUhGO3XuHtHyCTzmyRqyJRa51PZRlILdTjwrlk69hoH7fArymSHI3uhdGniPa/eGe3sMWjzfuThXdMmV/8fqaeX/EsLAQSMYsbk6tl2zmnsHHR/IQsKKjeHtx+bVwloFGjdQcjdDfb7vbalOcaCogajbDCPGnOarmHZQi/60f17xzjFj3YoitnuiT9SFcUUOckpx9t8/QX6x9ohvCo30zWs","252","0"
"103","0.001331000","192.168.183.133","192.168.183.2","53449","53","105","0x00008a1b","0","0","api.2d6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"104","0.057526000","192.168.183.2","192.168.183.133","53","53449","370","0x00008a1b","1","0","api.2d6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"4xzlbIlB0uzTjMSSq6e1SmUOdG32Ve3dRa98ME/cQCz9mmVlJzmzTxIosO9yMBCMx7jcBtKKTC4mwWHxY15EeY4oC2qesWXJ1BmVYnad4NQj2mWyYjFctdHnZisFBBWc91BKAUF+RZ18on/6hDrn3wOkkyoLpfke6h67aWecQhoBNOQCZNgpUr+9xXrSSBH4SVanXG8+MKUBirXKogS+E9ZBB5A9IPHFjehGFwoAkfJDbnNUqy3ucCfkaQ0K","252","0"
"105","0.001017000","192.168.183.133","192.168.183.2","63179","53","105","0x0000e4a8","0","0","api.2e6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
