frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.000986,192.168.81.139,192.168.81.2,65245,53,275,0,post.3a34d02969a875e9d7c04a4de9681edb31256a0b20c3ec21c44ce9e4a.63868c59a2ac09ab311bd15a7f54615007d225aef65eac1ff2032536.daa6708c5367319b9fccc5242b86f7c686d722133a88da7d5703b749.251187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
0.000986,192.168.81.139,192.168.81.2,65245,53,275,0,post.3a34d02969a875e9d7c04a4de9681edb31256a0b20c3ec21c44ce9e4a.63868c59a2ac09ab311bd15a7f54615007d225aef65eac1ff2032536.daa6708c5367319b9fccc5242b86f7c686d722133a88da7d5703b749.251187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
1.001641,192.168.81.139,192.168.81.2,65245,53,275,0,post.3a34d02969a875e9d7c04a4de9681edb31256a0b20c3ec21c44ce9e4a.63868c59a2ac09ab311bd15a7f54615007d225aef65eac1ff2032536.daa6708c5367319b9fccc5242b86f7c686d722133a88da7d5703b749.251187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
1.001641,192.168.81.139,192.168.81.2,65245,53,275,0,post.3a34d02969a875e9d7c04a4de9681edb31256a0b20c3ec21c44ce9e4a.63868c59a2ac09ab311bd15a7f54615007d225aef65eac1ff2032536.daa6708c5367319b9fccc5242b86f7c686d722133a88da7d5703b749.251187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
0.001596,192.168.81.139,192.168.81.2,56458,53,275,0,post.3c92eba53aa7cad5025b2107164c7a9f017118bde0216cd72175b1a0d.ccc336ae3af2f24ffabe6b7b03cf896763bbfbb1facaf24b8ce8c714.70ab80d84a9f063eb649f1138fe02b43e300e96b0e8ceaef0f0a04c4.351187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
0.001716,192.168.81.139,192.168.81.2,53543,53,275,0,post.36c1c1dbdd591b605614d25dc8cc43bb61554758fdf1fe93b55bd1eaf.27e4a4c068d8745badf6c21ed30b0f65b9cb714ce256266a78f34953.315ebbe496278e4e2ecad1d8aaf4652413bc9f82e502965f3c37371f.451187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,291,74.125.196.113,,,0.0
0.001893,192.168.81.139,192.168.81.2,64259,53,218,0,post.2e5260f577c05a3756c2ddc8d580c69263c4c32bc8262c16ea6f40a27.294f7c8632a6c0348125653b11cc1ea7cfecd00e6ea9aeb9e0783a25.551187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,234,74.125.196.113,,,0.0
0.000978,192.168.81.139,192.168.81.2,50463,53,153,0,post.112f75c6c986b3dda2495a1345a6941eb4625936376dee88b.651187d.2bb0a7b2.ns1.ssltestdomain.xyz,A,169,74.125.196.113,,,0.0
5.017228,192.168.81.139,192.168.81.2,64124,53,90,0,2bb0a7b2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.010768,192.168.81.139,192.168.81.2,55976,53,90,0,2bb0a7b2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
